???"TABLE_NAME","TABLE_COMMENT"
"ERR$_LPN_DETAIL","DML Error Logging table for ""LPN_DETAIL"""
"ERR$_MANH_BRIDGE_SUMMARY","DML Error Logging table for ""MANH_BRIDGE_SUMMARY"""
"ERR$_MSG_LOG","DML Error Logging table for ""MSG_LOG"""
"ERR$_ORDERS","DML Error Logging table for ""ORDERS"""
"ERR$_ORDER_LINE_ITEM","DML Error Logging table for ""ORDER_LINE_ITEM"""
"ERR$_OUTPT_DELV_NOTIFICATION","DML Error Logging table for ""OUTPT_DELV_NOTIFICATION"""
"ERR$_OUTPT_LPN","DML Error Logging table for ""OUTPT_LPN"""
"ERR$_OUTPT_LPN_CATCH_WEIGHT","DML Error Logging table for ""OUTPT_LPN_CATCH_WEIGHT"""
"ERR$_OUTPT_LPN_DETAIL","DML Error Logging table for ""OUTPT_LPN_DETAIL"""
"ERR$_OUTPT_LPN_MINOR_SL_NBR","DML Error Logging table for ""OUTPT_LPN_MINOR_SERIAL_NBR"""
"ERR$_OUTPT_LPN_SERIAL_NBR","DML Error Logging table for ""OUTPT_LPN_SERIAL_NBR"""
"ERR$_OUTPT_ORDERS","DML Error Logging table for ""OUTPT_ORDERS"""
"ERR$_OUTPT_ORDER_LINE_ITEM","DML Error Logging table for ""OUTPT_ORDER_LINE_ITEM"""
"ERR$_OUTPT_ORDER_LN_ITEM_SIZE","DML Error Logging table for ""OUTPT_ORDER_LINE_ITEM_SIZE"""
"ERR$_OUTPT_SHIPMENT_RETN","DML Error Logging table for ""OUTPT_SHIPMENT_RETN"""
"ERR$_PIX_SUMM","DML Error Logging table for ""PIX_SUMM"""
"ERR$_PIX_TRAN","DML Error Logging table for ""PIX_TRAN"""
"ERR$_PKT_CONSOL_LOCN","DML Error Logging table for ""PKT_CONSOL_LOCN"""
"ERR$_RESV_LOCN_HDR","DML Error Logging table for ""RESV_LOCN_HDR"""
"ERR$_SLOT_ITEM","DML Error Logging table for ""SLOT_ITEM"""
"ERR$_SRL_NBR_TRACK","DML Error Logging table for ""SRL_NBR_TRACK"""
"ERR$_SRL_PIX_TRAN","DML Error Logging table for ""SRL_PIX_TRAN"""
"ERR$_TMP_INVC_LPN_LIST","DML Error Logging table for ""TMP_INVC_LPN_LIST"""
"ERR$_TMP_INVC_LPN_MASTR_LIST","DML Error Logging table for ""TMP_INVC_LPN_MASTR_LIST"""
"ERR$_TMP_INVC_ORIG_OLI","DML Error Logging table for ""TMP_INVC_ORIG_OLI"""
"ERR$_TMP_REFACTORED_LPN_DTLS","DML Error Logging table for ""TMP_REFACTORED_LPN_DTLS"""
"ERR$_WM_INVENTORY","DML Error Logging table for ""WM_INVENTORY"""
"ERROR_LOG",""
"ERROR_LOG_ARGS",""
"ERROR_MESSAGE","Static: Defines the system error messages"
"ERROR_TYPE",""
"ER_COLUMNS","All the tables which are supported for E-Signature transactions"
"ER_TABLES","All the columns which are supported for E-Signature transactions"
"ESC_RESULT_GSP",""
"EVENT_ARACCT","Describes whether a particular event is enabled for a warehouse/ AR Account combination"
"EVENT_CATEGORY",""
"EVENT_HANDLER",""
"EVENT_LOG",""
"EVENT_MESSAGE","Event message is used to write out messages that can be sent to other systems asynchronously. For eg, if infolink needs to know that a carton is packed, we write a message record in this table. SendMe"
"EVENT_MESSAGE_HISTORY","Event message is used to write out messages that can be sent to other systems asynchronously. For eg, if infolink needs to know that a carton is packed, we write a message record in this table. SendMe"
"EVENT_PARM","This table will be used to define Rule based Events"
"EVENT_RULE_ATTRIB","This defines, if rule is required or not and to determine the sequence in which it is displayed in the list"
"EVENT_RULE_PARM","This table is used as an extension to the Task Rule Parm to capture additional parms for the Recall Inventory function. This table has an optional one-to-one relationship with the Task Rule Parm and s"
"EVENT_SEVERITY",""
"EXCEL_IMPORT_DETAILS",""
"EXCEL_MESSAGE_TYPE",""
"EXCEPTIONS",""
"EXCLUDE_TABLE","Not Used."
"EXE_NOTIFICATION_TYPES",""
"EXPT_W17_ASN",""
"EXPT_W17_COMPANY",""
"EXPT_W17_FACILITY",""
"EXPT_W17_ITEM",""
"EXPT_W17_ORDERS",""
"EXTERNAL_RESOURCE",""
"EXTERNAL_RESOURCE_TYPE",""
"EXTERNAL_TRACKING_ORDERS","For tracking external orders"
"E_ACT","Stores warehouse speciifc activity records"
"E_ACT_ELM","Stores activity element assignment"
"E_ACT_ELM_CRIT","Stores activity element criteria assignment"
"E_ACT_ELM_FCT","Sores activity element factor assignment"
"E_ACT_ELM_FCT_CRIT","Stores activity element factor-criteria assignment"
"E_ACT_ELM_HIST","Holds the history of changes made to E_ACT_ELM table due to MLS copy functions."
"E_ACT_ELM_PFD","Stores activity element pf&d assignment"
"E_ACT_HIST","Holds the history of changes made to E_ACT table due to MLS copy functions."
"E_ASN_DTL","Table not being used"
"E_ASN_HDR","Table not being used"
"E_AUD_LOG","Stores transaction audit log information"
"E_AUD_LOG_FACTOR","Stores factor audit lof information"
"E_AUD_LOG_TRVL","Stores travel audit log"
"E_AVG_CALCS","Stores average performance by job function"
"E_AVG_ESP","Stores average employee performance based on SAM"
"E_AVG_HRLY_LABOR_COST_RATE","Stores average hourly labor cost rate"
"E_AVG_PICKING","Stores average picking time by activity"
"E_COND_ACCESS_DIST","Stores vehicle conditional access distance information"
"E_CONSOL_PERF_SMRY","Stores consolidated performance summary of employees"
"E_CRIT_VAL","Stores criteria values"
