"   ","TABLE_NAME","CONSTRAINT_NAME","CONSTRAINT_TYPE","COLUMN_NAME","POSITION"
"2727","UI_VIEWPANELMETADATA","UI_VIEWPANEL_PK","P","VIEWPANELMETADATA_ID","1"
"2728","UNIQUE_IDS","PK_UNIQUE_IDS","P","REC_TYPE","1"
"2729","UNIQUE_IDS","PK_UNIQUE_IDS","P","WHSE_CODE","2"
"2730","UN_ASSIGNED_APPT_OBJECT","UN_ASSIGNED_APPT_OBJECT_PK","P","APPT_OBJECT_PK_ID","1"
"2731","UOM_CONV","PK_UOM_CONV","P","UOM_CONV_ID","1"
"2732","UOM_CONV","UK_UOM_CONV","U","FROM_UOM","1"
"2733","UOM_CONV","UK_UOM_CONV","U","TO_UOM","2"
"2734","UPS_DDU_DATA","UPS_DDU_DATA_PK","P","SERVICE_LEVEL","1"
"2735","UPS_DDU_DATA","UPS_DDU_DATA_PK","P","DATE_EFF","2"
"2736","UPS_DDU_DATA","UPS_DDU_DATA_PK","P","ZIP","3"
"2737","UPS_EMT_UPLOAD_RPT","PK_UPS_EMT_UPLOAD_RPT","P","UPS_EMT_UPLOAD_RPT_ID","1"
"2738","UPS_LANE_DATA","UPS_LANE_DATA_PK","P","FROM_ZIP","1"
"2739","UPS_LANE_DATA","UPS_LANE_DATA_PK","P","TO_ZIP","2"
"2740","URI_TYPE","URI_TYPE_PK","P","URI_TYPE_ID","1"
"2741","USER_ACCESS","PK_USER_ACCESS","P","USER_ACCESS_ID","1"
"2742","USER_ACCESS","UK_USER_ACCESS","U","JOB_NBR","1"
"2743","USER_AUDIT_EVENT_GTK","SYS_C0062950","P","SEQ_USER_AUDIT_EVENT_GTK_ID","1"
"2744","USER_NAVIGATION","USERNAV_ID_PK","P","USER_NAVIGATION_ID","1"
"2745","USER_PROFILE","PK_USER_PROFILE","P","USER_PROFILE_ID","1"
"2746","USER_PROFILE","UK_USER_PROFILE","U","LOGIN_USER_ID","1"
"2747","USER_PROFILE_XREF","PK_USER_PROFILE_XREF","P","USER_PROFILE_XREF_ID","1"
"2748","USER_RANGE_XREF","PK_USER_RANGE_XREF","P","USER_RANGE_XREF_ID","1"
"2749","USER_SECURITY_CONTEXT","PK_USER_SECURITY_CONTEXT","P","SECURITY_CONTEXT_ID","1"
"2750","USER_SYS_PREF","PK_USER_SYS_PREF","P","USER_SYS_PREF_ID","1"
"2751","USER_SYS_PREF","UK_USER_SYS_PREF","U","LOGIN_USER_ID","1"
"2752","USER_SYS_PREF","UK_USER_SYS_PREF","U","SYS_PREF_ID","2"
"2753","USER_SYS_PREF","UK_USER_SYS_PREF","U","SEQ_NBR","3"
"2754","USER_TASK_GRP","PK_USER_TASK_GRP","P","USER_TASK_GRP_ID","1"
"2755","VAL_EXPECTED_RESULTS","PK_VAL_EXPECTED_RESULTS","P","VAL_JOB_DTL_ID","1"
"2756","VAL_EXPECTED_RESULTS","PK_VAL_EXPECTED_RESULTS","P","ROW_NUM","2"
"2757","VAL_EXPECTED_RESULTS","PK_VAL_EXPECTED_RESULTS","P","POS","3"
