???"TABLE_NAME","INDEX_NAME","UNIQUENESS","COLUMN_NAME","COLUMN_POSITION"
"AP_ALERT","PE_AP_ALERT_IX3","NONUNIQUE","ALERT_ID","2"
"AP_ALERT","PE_AP_ALERT_IX3","NONUNIQUE","OUTBOUND_REGION_ID","3"
"AP_ALERT","PE_AP_ALERT_IX3","NONUNIQUE","INBOUND_REGION_ID","4"
"AP_ALERT","PE_AP_ALERT_IX3","NONUNIQUE","OBJECT_TYPE","5"
"AP_ALERT","PE_AP_ALERT_IX3","NONUNIQUE","ALERT_DEF_ID","6"
"AP_ALERT_ACTIVITY_DETAILS","APALRTACTDTL_AIDADT_IDX","NONUNIQUE","ACTIVITY_DTTM","1"
"AP_ALERT_ACTIVITY_DETAILS","APALRTACTDTL_AIDADT_IDX","NONUNIQUE","ALERT_ID","2"
"AP_ALERT_ACTIVITY_DETAILS","AP_ALERT_ACTI_DET_PRD_PUSH","NONUNIQUE","ALERT_ID","1"
"AP_ALERT_ACTIVITY_DETAILS","AP_ALERT_DTS_PK","UNIQUE","ALERT_ACTIVITY_ID","1"
"AP_ALERT_ARGS","AP_ALERT_ARGS_PK","UNIQUE","ALERT_ID","1"
"AP_ALERT_ARGS","AP_ALERT_ARGS_PK","UNIQUE","ALERT_GLOBALIZATION_ID","2"
"AP_ALERT_ARGS","AP_ALERT_ARGS_PK","UNIQUE","ARG_SEQ_NBR","3"
"AP_ALERT_ARGS","TM_AP_ALERT_ARGS_IDX1","NONUNIQUE","ALERT_ID","1"
"AP_ALERT_DEF","AP_ALERT_DEF_PK","UNIQUE","ALERT_DEF_ID","1"
"AP_ALERT_DEF","AP_ALERT_DEF_PRD_PUSH","NONUNIQUE","COMPANY_ID","1"
"AP_ALERT_DEF","AP_ALERT_DEF_PRD_PUSH","NONUNIQUE","ALERT_DEF_ID","2"
"AP_ALERT_DEF","AP_ALERT_DEF_PRD_PUSH","NONUNIQUE","ALERT_NAME","3"
"AP_ALERT_DEF_LCLZD_MSG","AP_LCLZD_PK","UNIQUE","ALERT_DEF_ID","1"
"AP_ALERT_DEF_LCLZD_MSG","AP_LCLZD_PK","UNIQUE","LOCALE_CODE","2"
"AP_ALERT_DEF_LCLZD_MSG","TM_AP_ALERT_DEF_IDX1","NONUNIQUE","ALERT_DEF_ID","1"
"AP_ALERT_DEF_NOTIFICATION","AP_ALRT_DEF_NOTI_PK","UNIQUE","ALERT_DEF_ID","1"
