???"FROM_TABLE","FROM_COLUMN","TO_TABLE","TO_COLUMN","CONSTRAINT_NAME"
"CONFIG_TOOL_PREF_ANSWER","CONFIG_TOOL_PREF_QUESTION_ID","CONFIG_TOOL_PREF_QUESTION","CONFIG_TOOL_PREF_QUESTION_ID","FK_CONFIGTOOLPREFANS_QUES"
"CONFIG_TOOL_PREF_DISABLED_STEP","CONFIG_TOOL_DTL_ID","CONFIG_TOOL_DTL","CONFIG_TOOL_DTL_ID","FK_CONFIGTOOLPREFDISTEP_DTL"
"CONFIG_TOOL_PREF_QUESTION","CONFIG_TOOL_HDR_ID","CONFIG_TOOL_HDR","CONFIG_TOOL_HDR_ID","FK_CONTOOLPREFQUES_HDR"
"CONSTEMP_SCHED_EVENT","EVENT_ID","OM_SCHED_EVENT","EVENT_ID","CN_SCH_EVNT_FK2"
"CONSTRAINTS","KIT_ID","KIT","KIT_ID","FK_CONSTRAINT_TO_KIT"
"CONSTRAINTS","CNSTR_GRP_ID","CNSTR_GRP","CNSTR_GRP_ID","FK_CONSTRAINT_TO_CNSTR_GRP"
"CONSTRAINTS","CAT_ID","CATEGORY","CAT_ID","FK_CONSTRAINT_TO_CATEGORY"
"CONS_ORDER_PATH","ERROR_MSG_ID","ERROR_MESSAGE","ERROR_MSG_ID","CON_ODR_PTH_FK1"
"CONS_ORDER_PATH","ORDER_SPLIT_ID","ORDER_SPLIT","ORDER_SPLIT_ID","CONSORDPT_OS_FK"
"CONS_ORDER_PATH","CONS_RUN_ID","CONS_RUN","CONS_RUN_ID","CON_ODR_PTH_FK2"
"CONS_REGION","DIRECTION","DIRECTION","DIRECTION","CONS_REGION_FK"
"CONS_RUN","OPT_ENGINE_ID","OPT_ENGINE","OPT_ENGINE_ID","CON_RUN_FK2"
"CONS_RUN_DTL","CONS_RUN_DTL_TYPE","CONS_RUN_DTL_TYPE","CONS_RUN_DTL_TYPE","CON_RUN_DTL_FK2"
"CONS_RUN_DTL","CONS_RUN_ID","CONS_RUN","CONS_RUN_ID","CON_RUN_DTL_FK1"
"CONS_TEMPLATE","TC_COMPANY_ID","OPT_PARAM_LIST","TC_COMPANY_ID","CON_TMP_FK1"
"CONS_TEMPLATE","OPT_ENGINE_ID","OPT_ENGINE","OPT_ENGINE_ID","CON_TMP_FK3"
"CONS_TEMPLATE","OPT_PARAM_LIST_ID","OPT_PARAM_LIST","OPT_PARAM_LIST_ID","CON_TMP_FK1"
"CS_EXECUTION_CONFIG_CONTEXT","CS_ID","COMPOSITE_SERVICE_REPOSITORY","CS_ID","CSEXECONF_CSR_FK"
"CS_EXECUTION_CONFIG_CONTEXT","FAILURE_NOTIFICATION_TYPE","EXE_NOTIFICATION_TYPES","TYPE_ID","CSEXECONF_ENTYP_FK"
"CS_EXE_NOTIFICATION_PARAMS","EXE_CONFIG_ID","CS_EXECUTION_CONFIG_CONTEXT","EXE_CONFIG_ID","CSEXENOTPM_CECC_FK"
"CUSTOMER_DOC_DELIVERY_DTL","DELIVERY_METHOD","DELIVERY_METHOD","DELIVERY_METHOD","CUST_DOC_DEL_DTL_FK1"
"CUSTOM_BEHAVIORAL_DETAIL","BEHAVIORAL_VIEW_TYPE_ID","CUSTOMIZE_VIEW_TYPE","CUSTOMIZE_VIEW_TYPE_ID","CST_BHLDT_VWTP_FK"
"CUSTOM_BEHAVIORAL_VIEW","VIEW_TYPE_ID","UI_CU_OBJECT_TYPE","OBJECT_TYPE_ID","CSTBHLVW_UCOT_FK"
"CUSTOM_BINDING_DETAILS","BINDING_ID","WSDL_BINDINGS","BINDING_ID","CBD_WB_FK"
"CUSTOM_BINDING_DETAILS","BINDING_TYPE_ID","BINDING_TYPE","BINDING_TYPE_ID","CBD_BT_FK"
"CUSTOM_DISPLAY","CUSTOM_DISPLAY_TYPE","CUSTOM_DISPLAY_TYPE","CUSTOM_DISPLAY_TYPE","CUSTOM_DISPLAY_CDT_FK"
"CUSTOM_DISPLAY_DETAIL","CUSTOM_DISPLAY_ID","CUSTOM_DISPLAY","CUSTOM_DISPLAY_ID","CUSTOM_DISPLAY_DETAIL_CDI_FK"
"CUSTOM_DISPLAY_DETAIL","CUSTOM_DISPLAY_FIELD_ID","CUSTOM_DISPLAY_FIELD","CUSTOM_DISPLAY_FIELD_ID","CUSTOM_DISPLAY_DETAIL_CDFI_FK"
"CUSTOM_DISPLAY_FIELD","CUSTOM_DISPLAY_DATATYPE","CUSTOM_DISPLAY_DATATYPE","CUSTOM_DISPLAY_DATATYPE","CUSTOM_DISPLAY_FIELD_CDD_FK"
"CUSTOM_DISPLAY_FIELD","CUSTOM_DISPLAY_TYPE","CUSTOM_DISPLAY_TYPE","CUSTOM_DISPLAY_TYPE","CUSTOM_DISPLAY_FIELD_CDT_FK"
"CUSTOM_DISPLAY_FIELD_ATTRIB","CUSTOM_DISPLAY_FIELD_ID","CUSTOM_DISPLAY_FIELD","CUSTOM_DISPLAY_FIELD_ID","CUSTOM_DISP_FLD_ATTR_CDFI_FK"
"CUSTOM_DISPLAY_OPT_TABLES","CUSTOM_DISPLAY_TYPE","CUSTOM_DISPLAY_TYPE","CUSTOM_DISPLAY_TYPE","CUSTOM_DISPLAY_OPT_TAB_CDT_FK"
"CUSTOM_FIELD","CUSTOM_PAGE_ID","CUSTOM_PAGE","CUSTOM_PAGE_ID","PARENT_FLD_PAGE_FK"
"CUSTOM_FIELD","CUSTOM_PANEL_ID","CUSTOM_PANEL","CUSTOM_PANEL_ID","PARENT_PANEL_FK"
"CUSTOM_FRAGMENT","CUSTOM_PAGE_ID","CUSTOM_PAGE","CUSTOM_PAGE_ID","PARENT_PAGE_FK"
"CUSTOM_FRAGMENT","PARENT_CUSTOM_FRAGMENT_ID","CUSTOM_FRAGMENT","CUSTOM_FRAGMENT_ID","CUSTOMF_PARNT_FK"
"CUSTOM_OPERATOR","CUSTOM_OPERATOR_TYPE_ID","CUSTOM_OPERATOR_TYPE","CUSTOM_OPERATOR_TYPE_ID","CUSTOM_OPERATOR_FK1"
"CUSTOM_PAGE","CUSTOM_PAGE_INFO_ID","CUSTOM_PAGE_INFO","CUSTOM_PAGE_INFO_ID","PAGE_INFO_FK"
"CUSTOM_PAGE","CUSTOMIZE_VIEW_TYPE_ID","CUSTOMIZE_VIEW_TYPE","CUSTOMIZE_VIEW_TYPE_ID","CUSTOM_VIEW_TYPE_FK"
